German,Allemand,,src/main/java/settings/listLangues.java:35,
English,Anglais,,src/main/java/settings/listLangues.java:36,
French,Français,,src/main/java/settings/listLangues.java:37,
Italian,Italien,,src/main/java/settings/listLangues.java:38,
"Select GPS","Sélection GPS",,"src/main/java/settings/listGPS.java:61
src/main/java/settings/listGPS.java:95
src/main/java/controller/GPSViewController.java:1803",
"imported sites","sites importés",,src/main/java/database/dbImport.java:66,
"rejected sites","sites rejetés",,src/main/java/database/dbImport.java:67,
"List saved in","Liste enregistrée dans",,"src/main/java/database/dbImport.java:86
src/main/java/database/dbParawing.java:149",
"imported flights","vols importés",,src/main/java/database/dbParawing.java:129,
"rejected flights","vols rejetés",,src/main/java/database/dbParawing.java:130,
"To rename","A renommer",,src/main/java/database/dbAdd.java:162,
"Program error","Erreur programme",,src/main/java/dialogues/alertbox.java:33,
"Undefined error","Erreur indéterminée",,"src/main/java/dialogues/alertbox.java:51
src/main/java/dialogues/alertbox.java:229",
"Successful operation","Opération réussie",,"src/main/java/dialogues/alertbox.java:55
src/main/java/controller/SitesViewController.java:398",
"File not found","Fichier non trouvé",,"src/main/java/dialogues/alertbox.java:58
src/main/java/dialogues/alertbox.java:64",
"File Output Input Problem","Problème d'entrée sortie sur fichier",,src/main/java/dialogues/alertbox.java:61,
"Parsing error","Erreur de parsing",,src/main/java/dialogues/alertbox.java:67,
"NullPointerException error","Erreur NullPointerException",,src/main/java/dialogues/alertbox.java:70,
"InterruptedException error","Erreur InterruptedException",,src/main/java/dialogues/alertbox.java:73,
"Loading resource failed","Problème de chargement de la ressource",,src/main/java/dialogues/alertbox.java:76,
"Unable to create temporary file","Impossible de créer le ficher temporaire",,src/main/java/dialogues/alertbox.java:79,
"No Internet connection","Pas de connection internet",,src/main/java/dialogues/alertbox.java:82,
"Settings are not valid","Paramètres invalides",,src/main/java/dialogues/alertbox.java:85,
"Database connection failed","Connection base de données impossible",,src/main/java/dialogues/alertbox.java:88,
"Reading problem in logbook","Problème de lecture sur le carnet de vol",,src/main/java/dialogues/alertbox.java:91,
"Problem while updating the logbook","Problème pendant la mise jour du carnet de vol",,src/main/java/dialogues/alertbox.java:94,
"Unable to create AIRSP folder","Impossible de créer le dossier AIRSP",,src/main/java/dialogues/alertbox.java:97,
"Reverbin program not found","Module Reverbin introuvable",,src/main/java/dialogues/alertbox.java:100,
"Reversale not connected","Reversale non connecté",,src/main/java/dialogues/alertbox.java:103,
"FRIDX.Bin not generated","FRIDX.bin non généré",,src/main/java/dialogues/alertbox.java:106,
"FRDATA.Bin not generated","FRDATA.bin non généré",,src/main/java/dialogues/alertbox.java:109,
"Error copying FRDATA. bin and FRIDX. bin","Erreur pendant la copie de FRDATA.bin et FRIDX.bin",,src/main/java/dialogues/alertbox.java:112,
"FRDATA.bin and FRIDX.bin generation successful","Génération des fichiers FRDATA.bin et FRIDX.bin réussie",,src/main/java/dialogues/alertbox.java:115,
"Unable to create airspaces selection","Impossible de créer la sélection d'espaces aériens",,src/main/java/dialogues/alertbox.java:118,
"Can't get response from web service","Pas de réponse du service web",,src/main/java/dialogues/alertbox.java:121,
"Unusable response from web service","Réponse du service web inutilisable",,src/main/java/dialogues/alertbox.java:124,
"Json response is null","La réponse JSON est vide",,src/main/java/dialogues/alertbox.java:127,
"Reading settings failed","Problème de lecture sur le fichier des paramètres",,src/main/java/dialogues/alertbox.java:131,
"Points program not found","Module Points non trouvé",,src/main/java/dialogues/alertbox.java:134,
"Wrong JSON score","JSON Score incorrect",,src/main/java/dialogues/alertbox.java:137,
"Error during generation of simple track","Erreur pendant la génération de la trace simple",,src/main/java/dialogues/alertbox.java:141,
"Error during generation of colored track by climb","Erreur pendant la génération de la trace colorée par vario",,src/main/java/dialogues/alertbox.java:145,
"Error during generation of colored track by altitude","Erreur pendant la génération de la trace colorée par altitude",,src/main/java/dialogues/alertbox.java:149,
"Error during generation of colored track by speed","Erreur pendant la génération de la trace colorée par vitesse",,src/main/java/dialogues/alertbox.java:153,
"Error during generation of scoring track","Erreur pendant la génération de la trace du score",,src/main/java/dialogues/alertbox.java:157,
"Error during generation of thermals track","Erreur pendant la génération de la trace des thermiques",,src/main/java/dialogues/alertbox.java:161,
"Error during generation of track replay","Erreur pendant la génération de la trace du replay",,src/main/java/dialogues/alertbox.java:165,
"Unable to run Google Earth","Impossible de lancer Google Earth",,src/main/java/dialogues/alertbox.java:168,
"Decoding picture failed","Problème sur le décodage de la photo",,src/main/java/dialogues/alertbox.java:171,
"No GPS response","Pas de réponse du GPS",,src/main/java/dialogues/alertbox.java:174,
"Track file is empty","Le fichier trace est vide",,src/main/java/dialogues/alertbox.java:177,
"No tracks in the GPS","Pas de traces dans le GPS",,src/main/java/dialogues/alertbox.java:180,
"File Extension not recognized","Extension de fichier non reconnue",,src/main/java/dialogues/alertbox.java:184,
"Decoding problem in track file","Problème de décodage sur la trace",,src/main/java/dialogues/alertbox.java:187,
"Reading problem in flights file","Problème de lecture sur le fichier des vols",,src/main/java/dialogues/alertbox.java:190,
"Inserting in the flights file failed","Problème d'insertion dans le fichier des vols",,src/main/java/dialogues/alertbox.java:193,
"Flights must be on the same day","Les vols doivent être du même jour",,src/main/java/dialogues/alertbox.java:196,
"Only one flight selected","Un seul vol sélectionné",,src/main/java/dialogues/alertbox.java:199,
